Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11430835,,,Nonresident Property Owner,,,Active,
11440907,,,Nonresident Property Owner,,Chambers Theory LLC c/o Alex Susi,Active,
11525689,,,Nonresident Property Owner,,,Active,
11665699,,,Nonresident Property Owner,,,Active,
11717816,,,Nonresident Property Owner,,Golden Real Estate Services and Property Management,Active,
11722470,,,Nonresident Property Owner,,"The Herndon Law Firm, PLLC",Active,
11737322,,,Nonresident Property Owner,,"The Herndon Law Firm, PLLC",Active,
11405492, NEW IRS MASTERS LLC,Legal Name,Limited Liability Company,"8803 Sudley Rd Ste 206, Manassas, VA, 20110, USA",Rani M Khan ,Active,
06863864,"KIANCORP" INC.,Legal Name,Stock Corporation,"11700 CARIS GLENNE DRIVE, HERNDON, VA, 20170 - 0000, USA",INDIRA   MEHRPOUR ,Inactive,
07632946,1 KING RETAILS INC.,Legal Name,Stock Corporation,"722 GRANT ST UNIT G, HERNDON, VA, 20170 - 0000, USA",HARRY   SHARMA ,Inactive,
S7986971,1 Lima Properties LLC,Legal Name,Limited Liability Company,"17332 Donora Rd, Silver Spring, MD, 20905 - 0000, USA",JOSE A   LIMA ,Inactive,
07629884,1 UNIQUE FASHION INC.,Legal Name,Stock Corporation,"722 GRANT ST, HERNDON, GA, 20170 - 0000, USA",DEUTCHE GROUP INC.,Inactive,
S3530922,"1:1 Marketing, LLC",Legal Name,Limited Liability Company,"1462 POWELLS TAVERN PL, HERNDON, VA, 20170 - 0000, USA",MONICA MAYK   PARHAM ,Inactive,
S2233221,"100 LINGARD ROAD, LLC",Legal Name,Limited Liability Company,"481 CARLISLE DR, HERNDON, VA, 20170 - 0000, USA",PHILIP A   NICKLES ,Inactive,
S4759777,"100,000 Miles LLC",Legal Name,Limited Liability Company,"1602 Sadlers Wells Ct, Herndon, VA, 20170 - 0000, USA",MATUS   CARNOGURSKY ,Active,
S7896428,1015StantonPark LLC,Legal Name,Limited Liability Company,"555 GROVE ST, 102, HERNDON, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
S2690123,"102 Cardinal Park, LLC",Legal Name,Limited Liability Company,"2-A CARDINAL PARK DR SE 102, LEESBURG, VA, 20176 - 0000, USA",DONALD H   OWENS ,Inactive,
S3297274,"1020 Elden Street, LLC",Legal Name,Limited Liability Company,"1020 ELDEN ST STE 204, HERNDON, VA, 20170 - 0000, USA",JOHN   PUGH ,Inactive,
11686273,1024SalisburyCt LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S2112193,"1031 SIERRA, LLC",Legal Name,Limited Liability Company,"1031 STERLING RD STE 1, HERNDON, VA, 20170 - 0000, USA",MANI B   FIERRO ,Inactive,
11116803,"105 N. College Drive, #171 LLC",Legal Name,Limited Liability Company,"1103 Burwick Dr, Herndon, VA, 20170, USA",Paulina   Vasquez ,Active,
11686277,109SextonCt LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S5361797,10th St Sub Shop LLC,Legal Name,Limited Liability Company,"3000 N. 10th Street Suite 6, Arlington, VA, 22201 - 0000, USA",MOHAMMED T   ALI ,Inactive,
S7426275,"11180 Rienzi, LLC",Legal Name,Limited Liability Company,"1281 Monroe Street, Herndon, VA, 20170 - 0000, USA",KARLA B.   FLOOD ,Pending Inactive,
S3368083,11260 SILENTWOOD LLC,Legal Name,Limited Liability Company,"1039 STERLING RD STE 203, HERNDON, VA, 20170 - 0000, USA",GEORGE   CALLAGHAN ,Inactive,
11254887,"1135 Buchanan Street, LLC",Legal Name,Limited Liability Company,"6841 Elm St Unit 601, Mc Lean, VA, 22101 - 8022, USA",Brad  L. Martin ,Inactive,
11230943,"1138 Basil Road, LLC",Legal Name,Limited Liability Company,"6841 Elm St Unit 601, Mc Lean, VA, 22101 - 8022, USA",Brad  L. Martin ,Inactive,
S3324847,"11800, LLC",Legal Name,Limited Liability Company,"11800 Leesburg Pike, Herndon, VA, 20170 - 0000, USA",DAVID A   HARRISON ,Active,
