Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
07490006,"1-855-COVERED, INC.",Legal Name,Stock Corporation,,D SCOTT   HUNTER ,Inactive,
11673931,"10177 Castle Tower Rd., LLC",Legal Name,Limited Liability Company,"904 Hanover Ave, Norfolk, VA, 23508 - 1227, USA",Scott A. Robertson ,Active,
S7171368,1018 Palmer Street LLC,Legal Name,Limited Liability Company,"1248 richmond cres, norfolk, VA, 23508 - 0000, USA",BRIAN   MCDONALD ,Active,
S2354316,"102 Kates Corner, LLC",Legal Name,Limited Liability Company,"950 Jamestown Cres, Norfolk, VA, 23508, USA",CHRISTINA E   MEIER ,Inactive,
S0003253,"1025 ASSOCIATES, L.C.",Legal Name,Limited Liability Company,"7511 CORTLANDT PLACE, NORFOLK, VA, 23505 - 0000, USA",COLIN MCA.   MCKINNON ,Pending Inactive,
11678892,104 Old Course LLC,Legal Name,Limited Liability Company,"6119 Studeley Ave, Norfolk, VA, 23508, USA",William  Chard ,Active,
S2130252,1100 Granby LLC,Legal Name,Limited Liability Company,"629 MAYFLOWERS RD, NORFOLK, VA, 23508 - 0000, USA",MICHAEL E   GLENN ,Active,
S2792499,"1148 East Princess Anne, LLC",Legal Name,Limited Liability Company,"1406 ELEANOR CT, NORFOLK, VA, 23508 - 0000, USA",EDWARD A   MCCULLOUGH ,Inactive,
S8427777,"124 146, LLC",Legal Name,Limited Liability Company,"501 Viking Dr Unit 2297, Virginia Beach, VA, 23450 - 1213, USA",IGOR A   VASERFIRER ,Active,
S2689422,"126 West Washington Street, LLC",Legal Name,Limited Liability Company,"225 ROYAL OAK DR, CHESAPEAKE, VA, 23322 - 0000, USA",EDWARD A.   MCCULLOUGH ,Inactive,
11329028,13 Seventh Ave LLC,Legal Name,Limited Liability Company,"1401 Walnut Hill St, Norfolk, VA, 23508 - 1037, USA",Richard E Waters ,Inactive,
S7795497,1405 Lake Forest Dr. LLC,Legal Name,Limited Liability Company,"528 W. 35th st, Norfolk, VA, 23508 - 0000, USA",CHARLES T  MAY JR. ,Active,
