Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11627147,,,Nonresident Property Owner,,,Active,
11453897," An Alternative Solution, LLC",Legal Name,Limited Liability Company,"1409 Talbert Dr, Richmond, VA, 23224 - 6529, USA",Danielle  Easley ,Inactive,
11121918, Glamco llc,Legal Name,Limited Liability Company,"4112 Silbury rd, Richmond, VA, 23234, USA",Marcia E Lewis ,Inactive,
11022741, HULL STREET RD CORPORATION,Legal Name,Stock Corporation,"3927 Hull Street Rd, Richmond, VA, 23224 - 1713, USA",Hamidi  Alsubayyei ,Inactive,
11404695, MB& Twins LLC,Legal Name,Limited Liability Company,"1409 Bowen St, Richmond, VA, 23224 - 7811, USA",Katerin  Balcarcel-Perez ,Active,
11079541, Prime Lounge LLC,Legal Name,Limited Liability Company,"116 E 13th St, Richmond, VA, 23224, USA",Orlando Tyrik Hogan ,Inactive,
11565004, SIMMI FIT LLC,Legal Name,Limited Liability Company,"1824 Pamworth Ln, Richmond, VA, 23224 - 2904, USA",Latavius Moquan Waddey ,Inactive,
11049393, The Lady Unexpected LLC,Legal Name,Limited Liability Company,"2132 Afton Ave, Richmond, VA, 23224, USA",Angela Latrice Edwards ,Inactive,
11356319," Thomas Dispatch Services, LLC",Legal Name,Limited Liability Company,"1917 Porter St, Richmond, VA, 23224 - 2037, USA",LaTasha  Thomas ,Inactive,
S3204114,"Especially Yours" Child Development Center LLC,Legal Name,Limited Liability Company,"2406 ROYALL AVE, RICHMOND, VA, 23224 - 0000, USA",KAREN   JONES ,Inactive,
S5402732,#untoldrva - Ancestor Films - LLC,Legal Name,Limited Liability Company,"4 E. 36th St, Richmond, VA, 23224 - 0000, USA",NICOLE   RUSH ,Inactive,
S7399936,#WUFOODMOVEMENTTV LLC,Legal Name,Limited Liability Company,"24012 hopkins rd, 24012 hopkins rd, Richmond, VA, 23224 - 0000, USA",Natajh Devon Munford ,Active,
11264053,$avag3 Productions LLC,Legal Name,Limited Liability Company,"234 E 36th St, Richmond, VA, 23224 - 1824, USA",Deion  Daniel ,Inactive,
11605388,$trictlyMon3y LLC,Legal Name,Limited Liability Company,"1504 Bruce St, Richmond, VA, 23224 - 7428, USA",Jarec  Brown ,Inactive,
S5558525,"1 master home health, llc",Legal Name,Limited Liability Company,"151 W Commerce Rd Apt 224, Richmond, VA, 23224 - 2370, USA",Adjoa  Henderson ,Inactive,
S5766946,"1 Terri's Company, LLC",Legal Name,Limited Liability Company,"3817 HULL ST RD, RICHMOND, VA, 23224 - 0000, USA",JOHN   GAINES ,Inactive,
07656580,"1 UMMAH, LTD.",Legal Name,Nonstock Corporation,"1415 HULL ST, RICHMOND, VA, 23224 - 0000, USA",WILLIAM   BULLOCK ,Inactive,
S8174148,10 A Day Services LLC,Legal Name,Limited Liability Company,"5306 White Oak Dr, Richmond, VA, 23224 - 6052, USA",Marlon Johnnie Vines III,Inactive,
S0737587,10 East Belt Boulevard LLC,Legal Name,Limited Liability Company,"10 EAST BELT BLVD, RICHMOND, VA, 23224 - 0000, USA",John Gerhardt Kloke II,Inactive,
S3654912,"10 WALNUT ALLEY, LLC",Legal Name,Limited Liability Company,"2200 CLARENDON BLVD STE 1400A, ARLINGTON, VA, 22201 - 0000, USA","2420 WILSON, LLC",Inactive,
11082053,"10.27 Juice Bar, LLC",Legal Name,Limited Liability Company,"720 E 6th St apt 7, Richmond, VA, 23224, USA",Tonetta  Ericia  Thorpe  ,Inactive,
11574213,100 STRONG ENTERTAINMENT LLC,Legal Name,Limited Liability Company,"806 ARIZONA DR, Richmond, VA, 23224, USA",MICHAEL C GOLDING ,Inactive,
11235928,10007 Halifax rd llc,Legal Name,Limited Liability Company,"800 Semmes ave, Richmond, VA, 23224, USA",Corey joseph Vickers Jr.,Inactive,
S7198478,"1004 Holly Spring Avenue, LLC",Legal Name,Limited Liability Company,"1004 Holly Spring Avenue, Richmond, VA, 23224 - 0000, USA","THOMAS LEE  NEWTON, III ",Active,
L0196776,"1011 Hull Street, LP",Legal Name,Limited Partnership,"215 W CLAY ST STE A, RICHMOND, VA, 23220 - 3914, USA",KELVIN G   HANSON ,Active,
S7903208,1012 8th Street LLC,Legal Name,Limited Liability Company,"3118 Hull Street, Richmond, VA, 23224 - 0000, USA",ANTOINE   JONES ,Inactive,
S1401092,"1021 West Clay, LLC",Legal Name,Limited Liability Company,"4201 DOMINION BLVD STE 200, GLEN ALLEN, VA, 23060 - 0000, USA",RICHARD W   GREGORY ,Inactive,
S2659060,"1026 Enterprises, LLC",Legal Name,Limited Liability Company,"2742 GOOLSBY AVE, RICHMOND, VA, 23234 - 0000, USA",DESRON   BANNISTER ,Inactive,
S2691543,"110-114 S. 15th Street Developer, LLC",Legal Name,Limited Liability Company,"7 EAST SECOND ST, RICHMOND, VA, 23224 - 0000, USA",RICHARD W   GREGORY ,Inactive,
S2691261,"110-114 S. 15th Street Managing Member, LLC",Legal Name,Limited Liability Company,"7 EAST SECOND ST, RICHMOND, VA, 23224 - 0000, USA",RICHARD W   GREGORY ,Inactive,
S7156609,"1103 Consulting, LLC",Legal Name,Limited Liability Company,"1103 Porter Street, Unit B, Richmond, VA, 23224 - 0000, USA",JACKSON   SCHER ,Inactive,
11791962,"1103 E. 15th St., LLC",Legal Name,Limited Liability Company,"1417 1/2 Hull St, Richmond, VA, 23224 - 3922, USA",Milton  Vice ,Active,
S2509604,"111 West Marshall Managing Member, LLC",Legal Name,Limited Liability Company,"11511 ALLECINGIE PKWY, RICHMOND, VA, 23235 - 0000, USA",RONALD H   HUNT ,Inactive,
S2447722,"111 West Marshall, LLC",Legal Name,Limited Liability Company,"101 W COMMERCE RD 2ND FL, RICHMOND, VA, 23224 - 0000, USA",RONALD   HUNT ,Inactive,
S0895419,"1116 E Main Street Associates, LLC",Legal Name,Limited Liability Company,"4910 EVELYN BYRD RD, RICHMOND, VA, 23225 - 0000, USA",SCOTT W   JONES ,Inactive,
L0211146,119 Leigh LP,Legal Name,Limited Partnership,"927 HULL ST, RICHMOND, VA, 23224 - 0000, USA",KELVIN G   HANSON ,Active,
11638356,"11of13Law, P.C.",Legal Name,Stock Corporation,"1024 Hull St Apt 203, Richmond, VA, 23224 - 4020, USA",Vinceretta  Taylor ,Pending Inactive,
S7830757,"12 strikes contracting, llc",Legal Name,Limited Liability Company,"11 Rodman Road, Richmond, VA, 23224 - 0000, USA",KEVIN   RANDESI ,Inactive,
11676959,123 World Champion LLC,Legal Name,Limited Liability Company,"4024 Midlothian Tpke Apt 104, RICHMOND, VA, 23224 - 1364, USA",Donna Nicole Page ,Active,
S8183503,125 Summit Street LLC,Legal Name,Limited Liability Company,"3118 Hull Street, Suite 300, Richmond, VA, 23224 - 0000, USA",ANTOINE   JONES ,Inactive,
S6835146,"12Strikes Contracting, LLC",Legal Name,Limited Liability Company,"11 Rodman Road, Richmond, VA, 23224 - 0000, USA",KEVIN   RANDESI ,Inactive,
11247166,13 Tennis llc ,Legal Name,Limited Liability Company,"800 Semmes ave, Richmond, VA, 23224, USA",Corey joseph Vickers Jr.,Inactive,
S4503845,"1306 Porter Street, LLC",Legal Name,Limited Liability Company,"1306 Porter Street, Richmond, VA, 23224 - 0000, USA",JUSTIN GREGORY   SHEPARD ,Inactive,
S1701566,"1309 West Broad Street Developer, LLC",Legal Name,Limited Liability Company,"101 W COMMERCE RD 2ND FL, RICHMOND, VA, 23224 - 0000, USA",RONALD   HUNT ,Inactive,
S1701574,"1309 West Broad Street Managing Member, LLC",Legal Name,Limited Liability Company,"101 W COMMERCE RD 2ND FL, RICHMOND, VA, 23224 - 0000, USA",RONALD   HUNT ,Inactive,
S1435397,"1309 West Broad Street, LLC",Legal Name,Limited Liability Company,"101 W COMMERCE RD 2ND FL, RICHMOND, VA, 23224 - 0000, USA",RONALD   HUNT ,Inactive,
S8312854,1312 Hull St LLC,Legal Name,Limited Liability Company,"1313 Hull Street, Suite 206, Richmond, VA, 23224 - 0000, USA",CHARLIE   WESTBROOK ,Inactive,
S5428158,1317 Hull st LLC,Legal Name,Limited Liability Company,"1317 hull st, richmond, VA, 23224 - 0000, USA",MARK ANDREW   BAUSH ,Inactive,
S8076210,1352 Hobbs Hole Drive Limited Partner LLC,Legal Name,Limited Liability Company,"101 W Commerce Road, 2nd Floor, Richmond, VA, 23224 - 0000, USA",MICHAEL   HUNT ,Inactive,
S8076152,1352 Hobbs Hole Drive LLC,Legal Name,Limited Liability Company,"101 W Commerce Road, 2nd Floor, Richmond, VA, 23224 - 0000, USA",MICHAEL   HUNT ,Inactive,
S8076285,1352 Hobbs Hole Drive Managing Member LLC,Legal Name,Limited Liability Company,"101 W Commerce Road, 2nd Floor, Richmond, VA, 23224 - 0000, USA",MICHAEL   HUNT ,Inactive,
11706925,"137 Pickwick, Llc",Legal Name,Limited Liability Company,"1901 Richmond Hwy, Richmond, VA, 23224, USA",Wallace  Warden ,Active,
S2431312,"14 S. 15th Street, LLC",Legal Name,Limited Liability Company,"7 E SECOND ST, RICHMOND, VA, 23224 - 0000, USA",RICHARD W   GREGORY ,Inactive,
11788339,"1400 Hull Developer, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224 - 4253, USA",Michael  A. McGlothlin ,Active,
11699795,"1400 Hull MM, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224 - 4253, USA",MIchael A. McGlothlin ,Active,
11699766,"1400 Hull Owner, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224 - 4253, USA",MIchael A. McGlothlin ,Active,
S4374569,"1420 Commerce Road, LLC",Legal Name,Limited Liability Company,"1420 COMMERCE RD, RICHMOND, VA, 23224 - 7500, USA",THOMAS N   ALLEN ,Inactive,
S3421684,"1425 E. Cary Street Developer, LLC",Legal Name,Limited Liability Company,"1425 E CARY ST, RICHMOND, VA, 23219 - 0000, USA",RICHARD W   GREGORY ,Inactive,
S7185913,14th and Cuts llc,Legal Name,Limited Liability Company,"1321 hull st, richmond, VA, 23224 - 0000, USA",MAURICE   CARPENTER ,Inactive,
11788340,"1500 Hull Developer, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224, USA",Michael  A. McGlothlin ,Active,
11790223,"1500 Hull MM, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224 - 4253, USA",Michael "Alex" McGlothlin ,Active,
11749913,"1500 Hull Owner, LLC",Legal Name,Limited Liability Company,"7 E 2nd St, Richmond, VA, 23224, USA",Michael  A. McGlothlin ,Active,
S7426796,"1618 Hull Street, LLC",Legal Name,Limited Liability Company,"1618 HULL STREET, RICHMOND, VA, 23224 - 0000, USA",JASON   KNOWLES ,Active,
