Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11468224,,,Nonresident Property Owner,,,Active,
11767496,,,Nonresident Property Owner,,Real Property Management VA Penninsula,Active,
11183322, ANeedFC LLC,Legal Name,Limited Liability Company,"312 Oxford Rd, Williamsburg, VA, 23185, USA",John L Dixon ,Inactive,
11606450," Restoration Services of Williamsburg, LLC",Legal Name,Limited Liability Company,"508 Fairfax Way, Williamsburg, VA, 23185, USA",Robert Peter Childs ,Active,
11819742,"1 Day Custom Garage Floor Virginia, LLC",Legal Name,Limited Liability Company,"4313 Newtown Ave, Williamsburg, VA, 23188, USA",Marina  Boothe ,Active,
S6701215,"10 SWAN, LLC",Legal Name,Limited Liability Company,"5205 SCENIC CT, WILLIAMSBURG, VA, 23185 - 0000, USA",MICHAEL D   JENKINS ,Active,
11104261,"100 Aberdeen, LLC",Legal Name,Limited Liability Company,"106 Royal Grant Dr, Williamsburg, VA, 23185, USA",Thomas R. Vermillion II,Active,
S2987230,"101-L Lake Powell Road, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
S2421693,"102 King William Drive, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",RANDALL S   HAWTHORNE ,Active,
11078348,102 W Semple LLC,Legal Name,Limited Liability Company,"3242 Deerfield Ct, Williamsburg, VA, 23185, USA",Robin  Branscome ,Inactive,
11415489,103 Bronze Ct LLC,Legal Name,Limited Liability Company,"105 Horseshoe Dr, Williamsburg, VA, 23185, USA",Linwood Shawn Nelson ,Active,
S6506820,"1031RR, LLC",Legal Name,Limited Liability Company,"423 N BOUNDARY ST STE 200, WILLIAMSBURG, VA, 23185 - 0000, USA",VERNON M  GEDDY III ,Active,
S2444398,"104 Astrid Lane, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",RANDALL S   HAWTHORNE ,Inactive,
S6259412,104 Canterbury Lane LLC,Legal Name,Limited Liability Company,"106 Mill Neck Rd, Williamsburg, VA, 23185 - 0000, USA",RANDALL S   HAWTHORNE ,Active,
S2878488,"104 King William Drive, LLC",Legal Name,Limited Liability Company,"142 KINGSPOINT DR, WILLIAMSBURG, VA, 23185 - 0000, USA",FORREST W   WILLIAMSON ,Inactive,
S7385869,"104 RAILWAY, LLC",Legal Name,Limited Liability Company,"104 RAILWAY ROAD, YORKTOWN, VA, 23692 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Active,
11055873,105 Washington LLC,Legal Name,Limited Liability Company,"1321 Jamestown Rd Ste 202, Williamsburg, VA, 23185, USA",James E. Vaiden ,Active,
S2463737,"105 Wichita Lane, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",SHELBY M   HAWTHORNE ,Inactive,
11055874,105 Wythe Ave LLC,Legal Name,Limited Liability Company,"1321 Jamestown Rd Ste 202, Williamsburg, VA, 23185, USA",James E. Vaiden ,Active,
S7114780,106 Black Oak Drive Holdings LLC,Legal Name,Limited Liability Company,"8701 Marshfield Lane, Gloucester, VA, 23061 - 0000, USA",Mary-Lewis  Wallace ,Inactive,
