Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11281009, Automation and Controls Solutions LLC,Legal Name,Limited Liability Company,"7675 Richmond Rd, Williamsburg, VA, 23188, USA",Sean Brian Hummel ,Inactive,
S3904903,"Time Out!" Ministry LLC,Legal Name,Limited Liability Company,"5672 CENTERVILLE RD, WILLIAMSBURG, VA, 23188 - 0000, USA",NAOMI T   FLYTHE ,Inactive,
S1917899,"$marter Referral$, LLC",Legal Name,Limited Liability Company,"3800 GREENCASTLE DR, WILLIAMSBURG, VA, 23188 - 0000, USA",SAMUEL P   MARTIN ,Inactive,
11425269,"& Know Wellness, LLC",Legal Name,Limited Liability Company,"127 Hartwell Perry Way, Williamsburg, VA, 23188, USA",Kelly Allan Compton ,Inactive,
11819742,"1 Day Custom Garage Floor Virginia, LLC",Legal Name,Limited Liability Company,"4313 Newtown Ave, Williamsburg, VA, 23188, USA",Marina  Boothe ,Active,
11268280,1 Of A Kind Cleaning Services LLC,Legal Name,Limited Liability Company,"4849 Milden Rd, WILLIAMSBURG, VA, 23188, USA",Emelina  Ramirez ,Inactive,
S1518754,"10, LLC",Legal Name,Limited Liability Company,"5162 Rollison Dr, Williamsburg, VA, 23188 - 2896, USA",Bonnie  S Salzman ,Active,
11349255,"102 Heathery, LLC",Legal Name,Limited Liability Company,"4909 Settlers Market Blvd, Williamsburg, VA, 23188, USA",Robert  Di Maio ,Inactive,
11488584,"1024 Holmes Ct., LLC",Legal Name,Limited Liability Company,"5520 Foundation St, Williamsburg, VA, 23188 - 2871, USA",Stephanie Ann Montgomery ,Inactive,
S7211057,"105 John Pott Drive, LLC",Legal Name,Limited Liability Company,"4 HAMLIN CT, WILLIAMSBURG, VA, 23188 - 0000, USA",ROBERT M   CAMPOLATTARO ,Active,
L0207128,"10993 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
L0210726,"11017 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
L0209926,"11063 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
S8409056,"116 Braxton, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Lane, P.O. Box 1165, Williamsburg, VA, 23188 - 0000, USA",Oscar Houser Blayton ,Inactive,
S8158281,"116 Matoaka Court, LLC",Legal Name,Limited Liability Company,"5520 Foundation Street, Williamsburg, VA, 23188 - 0000, USA",JAMES VANCE   STALLINGS ,Active,
11654169,12 Vacancies Bottleworks LLC,Legal Name,Limited Liability Company,"2203 Glynn Springs Dr, Williamsburg, VA, 23188 - 2845, USA",Corey Alan Janz ,Active,
11286099,"125 Barlow, LLC",Legal Name,Limited Liability Company,"113 Inverness, Williamsburg, VA, 23188, USA",Richard George Brunetti ,Active,
S4591469,125 Plantation Road LLC,Legal Name,Limited Liability Company,"144 Riviera, Williamsburg, VA, 23188 - 0000, USA",MATTHEW MARK   WILLIAMS ,Active,
S6833661,1276 N Wayne St #706 LLC,Legal Name,Limited Liability Company,"5219 Monticello Ave Unit 6142, Williamsburg, VA, 23188 - 0647, USA",VANESSA   GANSER ,Inactive,
11311082,13 Diamonds LLC,Legal Name,Limited Liability Company,"6229 Tewkesbury Way, Williamsburg, VA, 23188, USA",Jessica  Yager ,Active,
S6845442,"1310 Jamestown Road, LLC",Legal Name,Limited Liability Company,"103 George Wilson Ct., Williamsburg, VA, 23188 - 0000, USA",CHRISTINA   GROSSUTTI ,Inactive,
S2058925,"138 Nina Lane Property Holdings, LLC",Legal Name,Limited Liability Company,"3921 PENZANCE PL, WILLIAMSBURG, VA, 23188 - 0000, USA",RYAN   DUNKLE ,Inactive,
J0040957,1410 Auto Detailing,Legal Name,General Partnership,"5612 MOORETOWN RD UNIT D, WILLIAMSBURG, VA, 23188 - 0000, USA",   ,Inactive,
11606050,144 Indigo LLC,Legal Name,Limited Liability Company,"3713 Shackleton Ln, Williamsburg, VA, 23188 - 8803, USA",Dustin H. DeVore ,Active,
S3758945,146 Maxton LLC,Legal Name,Limited Liability Company,"146 MAXTON LN, WILLIAMSBURG, VA, 23188 - 0000, USA",RACHEL A   RHOADS ,Active,
11593142,150 Fall Ct LLC,Legal Name,Limited Liability Company,"141 Capeside Ct, Williamsburg, VA, 23188 - 1148, USA",Sheena   Keeling ,Active,
S8409643,"150 Grove, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Lane, Williamsburg, VA, 23188 - 1102, USA","COLONIAL INVESTORS, INCORPORATED",Active,
S6242335,150 Maxton LLC,Legal Name,Limited Liability Company,"146 Maxton Lane, Williamsburg, VA, 23188 - 0000, USA",WILLIAM   RHOADS ,Active,
S7288345,"158 Filbert Street, LLC",Legal Name,Limited Liability Company,"167 Owl Creek Drive, Williamsburg, VA, 23188 - 0000, USA",Dane   Hart ,Active,
S2136937,"1606 Virginia Dare Trail Holdings, LLC",Legal Name,Limited Liability Company,"3921 PENZANCE PL, WILLIAMSBURG, VA, 23188 - 0000, USA",DAVID W  OTEY JR ,Active,
S3212075,1607 Oyster Company LLC,Legal Name,Limited Liability Company,"3481 FRANCES BERKELEY, WILLIAMSBURG, VA, 23188 - 0000, USA",KELLY   TAYLOR ,Inactive,
11500603,1607 Woodworks LLC,Legal Name,Limited Liability Company,"5409 WM Ludwell Lee, Williamsburg, VA, 23188, USA",ZENBUSINESS INC.,Pending Inactive,
S3123603,"1614-900 North Stafford Street, L.L.C.",Legal Name,Limited Liability Company,"801 Shipwright Loop Apt 303, Williamsburg, VA, 23188 - 9028, USA",RAPHAEL M   SAVINO ,Active,
11666439,"1693 Alliance, LLC",Legal Name,Limited Liability Company,"205 Vintage Ct, Williamsburg, VA, 23188 - 8915, USA",Kevin A. Lake ,Active,
S1216102,"1693 Analytics, LLC",Legal Name,Limited Liability Company,"111 S STOCKER COURT, WILLIAMSBURG, VA, 23188 - 0000, USA",BURTON O   BAKER ,Inactive,
11086863,"1693 Analytics, LLC",Legal Name,Limited Liability Company,"111 S Stocker Ct, Williamsburg, VA, 23188 - 6307, USA",Burton Oslin Baker ,Active,
S8065635,1693 Consulting LLC,Legal Name,Limited Liability Company,"13 Tempsford Lane, Williamsburg, VA, 23188 - 0000, USA",LEE JOHNSTON   FOSTER ,Active,
S8616940,"1693 Management Company, LLC",Legal Name,Limited Liability Company,"5300 DISCOVERY PARK BLVD, WILLIAMSBURG, VA, 23188 - 2695, USA","Brian J. Daly, Esq. ",Active,
08499592,1693 Partners Fund,Legal Name,Nonstock Corporation,"5300 Discovery Park Blvd Fl 3, Williamsburg, VA, 23188 - 2695, USA","Brian J. Daly, Esq. ",Active,
S0877250,"1776 Housekeeping Associates, LLC",Legal Name,Limited Liability Company,"102 ALWOODLEY, WILLIAMSBURG, VA, 23188 - 0000, USA",V A   ZODDA ,Inactive,
05593934,1781 Foundation,Legal Name,Nonstock Corporation,"4 AUTUMN EAST, WILLIAMSBURG, VA, 23188 - 0000, USA",MICHAEL   STEEN ,Inactive,
11313169,1781 Foundation,Legal Name,Nonstock Corporation,"103 Fall E, Williamsburg, VA, 23188 - 1635, USA",Michael Anthony Steen ,Active,
11337762,"1810 Michael Faraday Drive, LLC",Legal Name,Limited Liability Company,"116 Pebble Bch, Williamsburg, VA, 23188 - 8904, USA",Andrew G Bury  Jr.,Active,
T0613911,"1900 Investments Asset Management, LLC",Legal Name,Limited Liability Company,"201 MONIFIETH, WILLIAMSBURG, VA, 23188 - 0000, USA",DALE   JENSEN ,Inactive,
S7519111,"19413 Pefley Drive, LLC",Legal Name,Limited Liability Company,"3217 Pristine View, Williamsburg, VA, 23188 - 0000, USA",KENSETT F   TELLER ,Inactive,
11320717,1942 Holdings LLC,Legal Name,Limited Liability Company,"107 Lewis Cir, Williamsburg, VA, 23188 - 1601, USA",Rebecca Shwayder Aman ,Inactive,
11248336,"1973 NN Multi High School Reunion, Inc.",Legal Name,Nonstock Corporation,"176 Highland, Williamsburg, VA, 23188, USA",Jonathan  Cooper ,Active,
11401219,1Goal,Legal Name,Nonstock Corporation,"5691 Mooretown Rd, Williamsburg, VA, 23188, USA",Benming  Zhang ,Active,
11243068,1st Contracting Solutions LLC,Legal Name,Limited Liability Company,"4900 Westmoreland Dr, Williamsburg, VA, 23188 - 1989, USA",Brian Dennis Murer ,Inactive,
S8409726,"200 Grove Landing, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Lane, Williamsburg, VA, 23188 - 0000, USA","COLONIAL INVESTORS, INCORPORATED",Active,
S3942085,"200 St. Georges Boulevard, LLC",Legal Name,Limited Liability Company,"105 Gleneagles, Williamsburg, VA, 23188 - 0000, USA",JAMES VANCE   STALLINGS ,Inactive,
11437517,2000 BC. LLC,Legal Name,Limited Liability Company,"128 Cooley Rd, Williamsburg, VA, 23188 - 2547, USA",ZENBUSINESS INC.,Inactive,
S2202820,201E LLC,Legal Name,Limited Liability Company,"3604 Brookmeade, Williamsburg, VA, 23188 - 0000, USA",JANICE ANN   BROWN ,Active,
S7554225,"2050 Advisors, LLC",Legal Name,Limited Liability Company,"4425 Lydias Drive, Williamsburg, VA, 23188 - 0000, USA",ALLISON   BLOOM ,Inactive,
S2976373,"207 Vista Royale, LC",Legal Name,Limited Liability Company,"4412 ACOMA CIRCLE, WILLIAMSBURG, VA, 23188 - 0000, USA",GEORGE R   KING ,Active,
11606053,21096 Brewers LLC,Legal Name,Limited Liability Company,"3713 Shackleton Ln, Williamsburg, VA, 23188, USA",Dustin H. DeVore ,Active,
S5860665,"211 Resolution, LLC",Legal Name,Limited Liability Company,"105 Mattaponi Trail, WILLIAMSBURG, VA, 23188 - 0000, USA",Jeffrey S Herrick ,Active,
S4114767,"213 Bulifants, LLC",Legal Name,Limited Liability Company,"213 BULIFANTS BLVD STE B, WILLIAMSBURG, VA, 23188 - 0000, USA","RANA  GRAHAM-MONTAQUE, DDS ",Active,
S3803675,213 Ingram LLC,Legal Name,Limited Liability Company,"213 INGRAM RD, WILLIAMSBURG, VA, 23188 - 0000, USA",C LEWIS   WALTRIP ,Inactive,
11465262,"217 Saddletown Road, LLC",Legal Name,Limited Liability Company,"217 Saddletown Rd, Williamsburg, VA, 23188, USA",Bennett L. Stein ,Inactive,
S8305387,219 Barlow LLC,Legal Name,Limited Liability Company,"219 Barlow Road, Williamsburg, VA, 23188 - 0000, USA",ANDREW   FRANCK ,Inactive,
11430536,"228 CW, LLC",Legal Name,Limited Liability Company,"116 Tewning Rd, Williamsburg, VA, 23188, USA",Gregory R. Davis ,Active,
S5356953,23172 Homestead Lane LLC,Legal Name,Limited Liability Company,"4801 Courthouse Street, Suite 300, Williamsburg, VA, 23188 - 0000, USA","TIMOTHY O. TRANT  II, ESQ. ",Inactive,
S5582491,23188 LLC,Legal Name,Limited Liability Company,"135 STANLEY DR, WILLIAMSBURG, VA, 23188 - 0000, USA",RICHARD   AKERS ,Inactive,
S5753969,"24 Seven Cleaning, LLC",Legal Name,Limited Liability Company,"5365 Olde Towne Road, Williamsburg, VA, 23188 - 0000, USA",SALVADOR ROSALES   ORNELAS ,Inactive,
